Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ryan Vanderhei","SFG",0.0414,0.0565,0,5.41989,1,0,0,0,,1,4.64,1.0985,0.6458,0.60221,0.135444,0.5951,0.0282,0.0497,0.6315,5.6835,5.3559,1.06117,1.219,0.136099,0.128254,0.00784483551979065,0.274955,1.6936,0.298321,0.696686,0.448137,,5.56731,-0.017113,-0.0497314,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ryan Vanderhei","sa3023671",687864
"Brody Jessee","CIN",0.0393,0.0625,0.006,6.01668,0.8714,0.0274,0,0,,1,4.672,1.1143,0.7091,0.66852,0.185444,0.5883,0.0246,0.0734,0.6517,5.8653,5.2947,1.10777,1.669,0.139491,0.12592,0.013570219278335571,0.27786,1.7026,0.292723,0.688507,0.402885,,6.22761,-0.0171342,-0.0417522,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Brody Jessee","sa3020447",689297
"Miguel Guerrero",,0.041,0.0569,0,5.76477,1,0,0,0,,1,4.64,1.0943,0.6798,0.64053,0.167778,0.5994,0.0282,0.0446,0.6587,5.9283,5.3946,1.09893,1.51,0.141961,0.129181,0.012780174612998962,0.273849,1.6937,0.292322,0.695018,0.379008,,5.93085,-0.0171394,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Miguel Guerrero","sa3014872",696001
"Chris Mauloni",,0.041,0.0569,0,5.75919,1,0,0,0,,1,4.671,1.0919,0.6809,0.63991,0.158,0.6335,0.0283,0.0538,0.6598,5.9382,5.7015,1.04152,1.422,0.141255,0.135624,0.005630478262901306,0.274092,1.7254,0.294987,0.694389,0.403002,,5.93144,-0.0171459,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Chris Mauloni","sa3014977",687422
"Connery Peters",,0.0409,0.057,0,5.78232,1,0,0,0,,1,4.701,1.0966,0.6848,0.64248,0.150111,0.6667,0.0285,0.0553,0.6604,5.9436,6.0003,0.99055,1.351,0.140481,0.141821,-0.001340135931968689,0.275597,1.7633,0.298719,0.694398,0.423011,,5.93178,-0.0171497,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Connery Peters","sa3023030",681553
"Morris Austin","CHW",0.0389,0.059,0,5.90589,1,0,0,0,,1,4.713,1.0983,0.6972,0.65621,0.166667,0.6679,0.0286,0.0578,0.653,5.877,6.0111,0.977691,1.5,0.138553,0.141714,-0.0031614750623703003,0.27545,1.7662,0.29411,0.697386,0.401469,,6.1729,-0.0171614,-0.0474483,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Morris Austin","sa3022955",809459
"Franyer Herrera","NYY",0.0432,0.0588,0.0091,5.53095,0.8574,0.0304,0,0,,1,4.685,1.0559,0.6549,0.61455,0.161667,0.6697,0.0242,0.0449,0.6933,6.2397,6.0273,1.03524,1.455,0.147983,0.142946,0.005037352442741394,0.265943,1.7256,0.287033,0.714149,0.387601,,5.994,-0.0171621,-0.0500038,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Franyer Herrera","sa3019520",800471
"Euri Montero","WSN",0.039,0.0589,0,5.77224,1,0,0,0,,1,4.673,1.1534,0.686,0.64136,0.147333,0.5927,0.0284,0.0587,0.5074,4.5666,5.3343,0.856082,1.326,0.108581,0.126835,-0.018253810703754425,0.286801,1.7461,0.298814,0.688451,0.455969,,5.98987,-0.0171704,-0.0456703,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Euri Montero","sa3015989",693759
"Yovanny Cabrera",,0.041,0.0569,0,5.73948,1,0,0,0,,1,4.71,1.0919,0.6811,0.63772,0.144333,0.6866,0.0286,0.0561,0.6529,5.8761,6.1794,0.950917,1.299,0.13862,0.145775,-0.007154986262321472,0.275225,1.7785,0.298911,0.696128,0.43799,,5.93377,-0.0171716,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Yovanny Cabrera","sa3009640",687672
"Davidxon Lara","LAA",0.0385,0.0594,0,5.94819,1,0,0,0,,1,4.693,1.1415,0.7041,0.66091,0.160667,0.6347,0.0285,0.0458,0.5912,5.3208,5.7123,0.931464,1.446,0.125975,0.135244,-0.009269118309020996,0.284486,1.7762,0.300811,0.691113,0.434059,,6.0829,-0.0172095,-0.0465521,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Davidxon Lara","sa3022127",808154
